StudentID,What is your academic status (choose one),What is your major?,Secondary Major (If Applicable),Select your class section,S1Q1,S1Q2,S1Q3,S2Q1,S2Q2,S3Q1,S3Q2,S3Q3
StudentID_6720,Junior,Web Programming and Design,n/a,CGT 27000-LC (Wednesday/Friday),4,4,4,4,4,5,5,5
StudentID_7164,Sophomore,Physics,n/a,CGT 27000-LC (Wednesday/Friday),3,3,4,2,2,4,4,5
StudentID_3986,Junior,Web Programming and Design,n/a,CGT27000-001 (Tuesday/Thursday),4,4,3,4,4,4,4,4
StudentID_9097,Junior,Data Visualization,n/a,CGT27000-001 (Tuesday/Thursday),4,4,3,4,3,4,3,4
